TestFile,Answer,Prediction
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,90-100,90-100
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
1_mp3,0-90,0-90
